No;Ataque;País;Tipo de Ataque;Concepto del Ataque;Fecha;Analisis;Ley y/o Articulo;Penas;Prevención;Enlace;Aporte de la Informática Forense en este caso;Evidencia por Recolectar;"Nombre del Analista ""Informática Forense"""
13;Change Healthcare cyberattack disrupts medical services across the United States;United States;Ransomware;A ransomware attack occurs when cybercriminals infiltrate a system, encrypt critical data, and demand payment in exchange for restoring access. These attacks often begin through compromised credentials or system vulnerabilities.;February 2024;This attack is highly sophisticated as it involves coordination between ;Law 1273 of 2009 - Articles 269A, 269D, 269F;Imprisonment from 48 to 96 months and fines ranging from 100 to 1000 legal minimum wages;Implement multi-factor authentication, keep systems updated, monitor access credentials, segment networks, and train employees to detect phishing and suspicious activity.;https://www.bbc.com/news/world-us-canada-68442678;Digital forensics helps identify how attackers gained access, analyze logs to trace movements, reconstruct the attack timeline, and provide evidence for legal investigations. It also helps detect vulnerabilities exploited during the attack.;System access logs, authentication records, compromised credentials, network traffic logs, infected system images, and ransomware samples;Juan David Bautista Rodriguez
14;IFX Networks ;Colombia ;Ransomware (Secuetro digital de información y servicios en la nube);El ransomware es un tipo de malware que bloquea el acceso a sistemas o datos y exige un pago para liberarlos. En este caso, los atacantes paralizaron la enfraestructura de IFX Networks, afectando servicios críticos de múltiples instituciones;Del 12 al 16 de septiembre de 2023;- Impacto a más de 4,200 empresas en Amércia Latina fueron afectadas, 1800 en Colombia.                                          - Sectores críticos: Salud, justica, educacióm.                                              - Riesgo: Exposición de datos sensibles y paralización de servicios esenciales.;Colombian Criminal Code, Article 269G – Unauthorized obstruction of computer systems or networks. Also applicable: Law 1273 of 2009, which criminalizes cyberattacks and protects information systems.;Under Law 1273 of 2009, penalties range from 4 to 8 years of imprisonment and fines between 50 to 1,000 minimum monthly wages, depending on the severity and impact of the attack.;Implementation of regular backups, network segmentation, multi-factor authentication, employee awareness training, and updated endpoint protection. Critical infrastructure should adopt Zero Trust architecture and continuous monitoring.;https://canal1.com.co/noticias/nacional/exclusiva-este-fuemensaje-dejo-grupo-hackers-ifx-atacado-jaque-varias-entidades-colombia/;Digital forensics enables identification of the ransomware variant, reconstruction of the attack timeline, recovery of encrypted data where possible, and attribution of malicious activity to specific threat actors. It also provides admissible evidence for judicial proceedings.;System and server log files, network traffic captures, registry entries, encrypted files, ransom notes, malware samples, and communication traces with command-and-control servers.;Sebastian Cepeda Robayo
15;QANTAS;Australia ;Social Engineering / Data Breach / Third-Party Compromise;A cybercriminal group compromised a third-party customer service platform used by a Qantas call center, extracting personal data from approximately 6 million customers. The attack is attributed to the Scattered Spider group, known for using social engineering, identity impersonation, and MFA fatigue to obtain employee credentials and pivot into supplier systems.;June 30 – July 9, 2025;"The attack did not compromise Qantas' core infrastructure or flight operations systems; the impact was limited to customer records on the third-party platform. Compromised data included approximately 4 million records with names and emails, 2.8 million with frequent flyer numbers, and 1.7 million with combinations of date of birth, phone number, gender, and meal preferences. No financial data or passport information was accessed.";Privacy Act 1988 (Australia) – Australian Privacy Principle 11 (APP 11): Obligation to protect personal information against unauthorized access.;Fines of up to AUD $50 million for organizations (2022 Privacy Act reform). Civil liability and class action lawsuits from affected individuals.;"Implement Zero Trust Architecture for external vendors; robust MFA-fatigue-resistant authentication; continuous monitoring of third-party access; anti-social engineering training for call center employees.";https://www.bleepingcomputer.com/news/security/qantas-discloses-cyberattack-amid-scattered-spider-aviation-breaches/;Qantas worked with Australia's National Cyber Security Coordinator, the Australian Cyber Security Centre (ACSC), and external cyber forensics firms. Forensic analysis made it possible to determine exactly which data was compromised per customer, identify the entry vector (the third-party platform in Manila), and rule out access to Qantas' internal systems.;Authentication and access logs from the third-party platform. Call records and social engineering attempts targeting the call center. Metadata from suspicious sessions. Source IPs of unauthorized connections. System snapshots taken before isolation. Threat actor communications with the airline.;Jhoan Sebastian Guerra Zapata
16;IBERDROLA DATA BREACH;SPAIN;DATA BREACH;ATTACKERS EXPLOITED VULNERABILITIES TO ACCESS CUSTOMER DARA WITHOUT AUTHORIZATION;2024;THE ATTACK EXPOSED PRESONAL DATA OF THOUSANDS OF USERS DUE TO WEAK SECURITY CONTROLS AND SYSTEM VULNERABILITIES;SPANISH DATA PROTECTION LAW (LOPDGDD) AND GDPR;FINAMCIAL FINES AND LEGAL SANCTIONS DEPENDING ON THE SEVERITY OF THE BREACH;STRENGTHEN CYBERSECURITY CONTROLS UPDATE SYSTEMS IMPLEMENT ACCES CONTROLS AND MONITORING;https://www.etb.eus/es/noticias/tecnologia/detalle/9801823/iberdrola-sufre-ciberataque-y-deja-al-descubierto-datos-de-mas-de-600000-clientes/;DIGITAL FORENSICS HELPS IDENTIFY THE SOURCE OF THE ATTACK ANALYZE SYSTEM LOGS AND DETERMINE HOW THE ATTACKERS ACCESSED THE DATA;SYSTEN LOGS ACCES RECORDS NRTWORD TRAFFIC COMPROMISED ACCOUNSTS;DIEGO ANDRES GONZALEZ BARRERA
17;Healthcare ransomware attack;United States (with global impact);Ransomware targeting hospitals and healthcare providers;Criminal groups encrypted patient records and demanded payment, threatening public health services;"	January 2026";Attackers exploited outdated systems and weak cybersecurity in critical infrastructure. The impact included delayed surgeries, compromised patient data, and financial losses.;"U.S. Computer Fraud and Abuse Act (CFAA); HIPAA (Health Insurance Portability and Accountability Act) for patient data protection";Under CFAA, penalties range from fines to imprisonment (up to 10 years for intentional damage). HIPAA violations can result in fines up to $1.5 million per year.;Regular patching, network segmentation, employee training, and use of advanced threat detection systems;https://cybersecuritynews.com/top-10-cyber-attacks-of-2026/?utm_source=copilot.com;Forensic experts can trace ransomware payloads, identify compromised endpoints, analyze logs for intrusion paths, and preserve digital evidence for prosecution.;"	System event logs, encrypted patient files, ransom notes, network traffic captures, malware samples, and communication records with attackers";ANDRÉS FELIPE PEÑA CASTRO 
18;Colonial Pipeline ransomware attack;United States ( EE UU);Ransomware;Ransomware is a cyberattack method in which attackers infiltrate a system—commonly through phishing emails, malicious links, or compromised credentials—and deploy malware that encrypts files or entire systems. Once the data is locked, the attackers demand a ransom payment, usually in cryptocurrency, in exchange for the decryption key. This type of attack often includes data exfiltration and threats to leak sensitive information if the ransom is not paid.;44317;The Colonial Pipeline attack was carried out by the cybercriminal group DarkSide using ransomware. The attackers gained access through compromised credentials, which indicates weak access control and lack of multi-factor authentication. As a result, the company had to shut down its operations, causing fuel shortages across several regions. This incident highlights the vulnerability of critical infrastructure and the importance of strong cybersecurity measures.;Law 1273 of 2009 – Article 269D (Computer damage);48 to 96 months of imprisonment and fines ranging from 100 to 1000 minimum legal monthly wages;"Implement multi-factor authentication (MFA)
Continuous monitoring of system access
Network segmentation
Regular data backups
Cybersecurity awareness training
Keep systems updated";https://es.wikipedia.org/wiki/Ciberataque_a_Colonial_Pipeline;Digital forensics helps identify the attack vector, analyze compromised credentials, reconstruct the timeline of the incident, and determine the extent of the damage. It also supports evidence collection for legal investigations and improves future security measures.;Digital forensic evidence should include system and server logs to identify unauthorized access, network traffic records to trace malicious connections, and forensic disk images to preserve affected systems. Additionally, compromised credentials, ransomware executable files, and encrypted data must be collected. It is also important to gather memory dumps, configuration files, and records of system activity before and after the attack to reconstruct the incident timeline and determine the attack vector.;"CARLOS ALBERTO GIL VANEGAS
"
19;Active domain vulneration and ransomware attack to a healthcare corporational group;Colombia ;Infection by ramsonware, having an operating Deny of Service (DoS) as a consecuency.;A threat actor managed to infiltrate the organization’s corporate network to inject malware that encrypted the system’s databases and files. By encrypting the information, the attackers blocked access to critical systems (medical records, appointment scheduling, medication dispensing) and demanded a data rescue, usually in cryptocurrency, in exchange for the decryption key.;44682;From the perspective of Health Information Systems (HIS), this attack demonstrates that the healthcare sector is a highly vulnerable critical infrastructure target. The attack not only compromised data availability, forcing the Healthcare corporational group and its associated healthcare centers to revert to manual processes (pen and paper), but also put at risk the confidentiality and integrity of sensitive data (clinical and financial) belonging to millions of members. It is likely that the initial entry vector was a phishing email sent to an employee or the exploitation of a vulnerability in an unpatched remote access (VPN) connection.;"In accordance with Law 1273 of 2009 (Regulation of Computer Crimes in Colombia), the following articles apply:

- Article 269A: Unauthorized access to a computer system.
- Article 269D: Computer damage (through the alteration and encryption of data).
- Article 269F: Violation of personal data.";prison terms of 48 to 96 months and fines ranging from 100 to 1,000 current legal monthly minimum wage. Furthermore, the penalties are increased because the attack disrupted the provision of an essential public service (health care).;"- Maintain isolated backups (offline or in a segmented cloud) that cannot be encrypted by malware.
- Isolate critical servers from the administrative user network to prevent ransomware from “lateral movement.”
- Implement advanced real-time monitoring to block anomalous encryption behavior (Endpoint Detection and Response systems).
- Provide rigorous training to medical and administrative staff on social engineering and phishing tactics.";"https://www.eltiempo.com/salud/salud-total-eps-fue-objeto-de-ataque-informatico-externo-669568

https://redmas.com.co/colombia/Ataque-cibernetico-a-EPS-Salud-Total-afecta-a-46-millones-de-afiliados-SuperSalud-interviene-20240129-0064.html";Computer forensics is vital for reconstructing the timeline of the incident (the “patient zero” who opened the infected file), identifying the exact variant of the ransomware to search for potential public decryption keys, and ensuring the chain of custody of the evidence so that the Attorney General's Office (Cyber Police Center) can prosecute those responsible.;"- Forensic images (bit-by-bit copies) of the hard drives on the compromised servers.
- RAM dumps to attempt to capture encryption keys in plain text before the computers are shut down.
- Extraction of registry hives and firewall and VPN logs to identify the external IP address from which the attackers gained access.";Jhon Jairo Gavilán R.
20;WannaCry ransomware attack;United Kingdom (with global impact);Ransomware (self-propagating worm);WannaCry was a ransomware cyberattack that exploited a vulnerability in Microsoft Windows known as EternalBlue. It encrypted users' files and demanded a ransom payment in Bitcoin in exchange for the decryption key. The malware spread automatically across networks without requiring user interaction.;42856;"The WannaCry attack affected more than 200,000 computers across over 150 countries. One of the most impacted sectors was the United Kingdom’s National Health Service (NHS), where hospitals had to cancel appointments and surgeries due to inaccessible systems.

The rapid spread of the attack was mainly due to unpatched and outdated systems. By exploiting the EternalBlue vulnerability, the ransomware was able to move laterally across networks efficiently.

This incident highlighted critical cybersecurity weaknesses such as poor patch management, lack of network segmentation, and insufficient security controls.";"Computer Misuse Act 1990 (UK)
Budapest Convention on Cybercrime
In Colombia: Law 1273 of 2009 (Cybercrime Law)";"In the UK: up to 10 years or more in prison depending on the severity
In Colombia (Law 1273 of 2009):
48 to 120 months of imprisonment
Significant financial fines";"Regular system updates and patch management
Implementation of firewalls and IDS/IPS systems
Network segmentation
Regular data backups
Updated antivirus software
Employee cybersecurity awareness training";https://en.wikipedia.org/wiki/WannaCry_ransomware_attack ;"Digital forensics played a key role in:

Identifying the attack vector (EternalBlue exploit)
Analyzing the ransomware behavior
Tracking Bitcoin transactions used for ransom payments
Determining the scope and impact of the attack
Collecting digital evidence for legal investigations
Supporting attribution to cybercriminal groups such as Lazarus Group";"System and server logs
Encrypted files
Malware samples (WannaCry)
Suspicious IP addresses
Network traffic captures (PCAP files)
Access logs (authentication records)
File hashes
Emails (if phishing was involved)
Cryptocurrency transaction records";Marlon Alejandro Vanegas Figueroa.
21;DYN DNS;United States;DDOS;A massive distributed denial-of-service (DDoS) attack targeted Dyn, a major DNS provider, by overwhelming its servers with traffic from thousands of compromised IoT devices infected with the Mirai malware. This caused major websites like Twitter, Netflix, and GitHub to become inaccessible.;October 2016;The attackers used the Mirai botnet, composed of infected IoT devices such as cameras and routers, to overwhelm Dyn’s DNS infrastructure. This prevented domain name resolution, causing major websites like Twitter, Netflix, and GitHub to go offline globally. The attack demonstrated the risks of unsecured IoT devices and the importance of resilient internet infrastructure.;Law 1273 of 2009 – Article 269B (Illegal obstruction of a computer system);Imprisonment from 48 to 96 months and fines ranging from 100 to 1000 legal minimum monthly wages;Implementation of anti-DDoS protection systems, continuous traffic monitoring, network segmentation, and securing IoT devices by changing default credentials and updating firmware regularly;https://www-theguardian-com.translate.goog/technology/2016/oct/26/ddos-attack-dyn-mirai-botnet?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc;Digital forensics helps analyze traffic patterns, identify the origin of the attack, trace malicious IP addresses, and reconstruct the timeline of the incident. It also supports attribution by linking compromised devices to the botnet and provides evidence for legal investigations.;Network traffic logs, packet captures (PCAP files), source IP addresses, firewall and DNS server logs, IoT device activity logs, and indicators of compromise (IoCs) related to Mirai malware;Ximena Martínez González 
22;Unauthorized Access to Government Systems (Case: Colombian hacker).;United States (Target) / Colombia (Origin).;Unauthorized System Access / Data Breach / SQL Injection.;Exploiting software vulnerabilities to bypass security protocols, gaining administrative privileges to extract sensitive judicial data or alter official web content (Deception and Intrusion).;2007 - 2012;The attacker identified unpatched vulnerabilities in the organization's web servers. By using injection techniques, they gained remote access, allowing for the exfiltration of confidential legal documents and personal data of judicial officials.;Imprisonment from 48 to 96 months and a fine ranging from 100 to 1,000 legal monthly minimum wages.;Imprisonment from 48 to 96 months and a fine ranging from 100 to 1,000 legal monthly minimum wages.;Implementation of Web Application Firewalls (WAF), regular Penetration Testing (Ethical Hacking), database encryption, and Multi-Factor Authentication (MFA).;https://www.noticiascaracol.com/los-informantes/la-historia-del-hacker-colombiano-que-desafio-la-seguridad-del-pentagono-so35;Digital forensics enables the reconstruction of the Attack Timeline, identifying the source IP address in Colombia, recovering deleted temporary files, and determining the exact scope of the compromised data.;"1. Server access logs (Apache/IIS/Nginx).

2. RAM memory dumps from the affected server.

3. Network traffic captures (.pcap files).

4. Forensic images (bit-by-bit copies) of the suspect's hard drives.

5. ISP (Internet Service Provider) connection records.";Carlos Julián Miranda García
23;"	Viva Air (Airline)";Colombia;Ransomware and Data Breach;The airline was infiltrated by a hacker group to steal and encrypt sensitive data. The attackers, identified as RansomEXX, threatened to leak the information unless a ransom was paid;March 2022;The attack compromised the data of approximately 932,000 individual accounts, exposing 2.6 million transaction records . Exposed data included names, email addresses, IP addresses, phone numbers, physical addresses, and partial credit card details (last 4 digits) . Although the airline claimed to have regained control in under 40 minutes, the incident caused significant reputational damage;In Colombia, the airline stated it acted in accordance with national law. This incident falls under Law 1273 of 2009 (which defines computer crimes) and Law 1581 of 2012 (which governs the protection of personal data) ;Under Colombian law, the crime of personal data violation (Article 269F of Law 1273) carries prison sentences of 48 to 96 months. Sentences can be longer for attacking computer systems. However, in this specific case, the attackers operated from abroad, and the primary focus was on mitigating the damage and protecting affected users;Experts recommend implementing a Zero-Trust security model, 24/7 monitoring of technological assets, network segmentation (to prevent the attack from spreading), and continuous employee training to avoid falling victim to social engineering tactics;https://www.publimetro.co/noticias/2023/01/17/viva-air-admitio-que-fue-hackeada-en-2022-que-tantos-datos-les-robaron/;Digital forensics was crucial for identifying the attack vector, eliminating the malware and backdoors left by the attackers, and helping the company regain control of its systems in a short time;Key digital evidence in this case includes transaction logs (2.6 million records), the malware files used in the attack, forensic images of compromised servers, IP addresses of the attackers, and a copy of the exfiltrated data (which the hackers claimed to be 18.25 GB);Yisel Patricia Hernandez Ulloa
24;"Operation ""Devman"" vs. Healthcare Sector (Clínica Dávila Case)";Chile;Ransomware with Exfiltration;A cyberattack where hackers steal sensitive data before encrypting the systems, using the threat of leaking private information to demand a ransom.;December 2025;Attackers exploited a logical security vulnerability in the clinic's VPN. The security breach was a basic error: an access account had the username and password identical. This allowed the Devman group to escalate privileges and steal 250 GB of medical records.;Law 21.459 (Chilean Computer Crime Law) - Art. 2: Unlawful Access and Art. 4: Data Interception.;Imprisonment from 541 days to 5 years, plus heavy fines under the New Cybersecurity Framework Law.;Enforce strong password policies, implement mandatory Multi-Factor Authentication (MFA), and conduct regular audits of remote access protocols.;https://interferencia.cl/casos/hackeo-clinica-davila;Forensics identified the misconfigured VPN as the initial entry point and tracked the leaked medical data on the Dark Web.;VPN access logs, encrypted file samples, ransom notes left by the attackers, and metadata from the exfiltrated documents.;Elkin José Pájaro De Ávila
25;EPS Sanitas (Keralty Group);Colombia; Ransomware;The technological infrastructure was infected, leading to the encryption of critical files and the exfiltration of 0.7 terabytes of private information from patients and employees.;November 2022;The attack paralyzed appointment scheduling, drug delivery, and emergency services across the country. The attackers demanded payment in cryptocurrencies and, in response to the company’s refusal, published personal data, medical histories and financial statements on the Dark Web.;"269A: Abusive access to a computer system.
269D: Computer damage.
269F: Personal data breach.";Penalties of 48 to 96 months and penalties of 100 to 1000 Valid Legal Monthly Minimum Wages (SMMLV).;"Implementation of ""Zero Trust"" architecture, mandatory two-factor authentication (MFA), network segmentation to avoid lateral movements and periodic backups offline.
";https://www.radionacional.co/actualidad/datos-de-usuarios-de-la-eps-sanitas-se-vulneraron-tras-ciberataque;Using computer forensics, 'patient zero' (an input vector, possibly a phishing email) was identified, the intrusion timeline was determined, and specific files were extracted to comply with data breach law notifications.;A list of forensic images of the servers that were affected, network traffic logs, Active Directory authentication logs, firewall configuration files, and the payload executable are included.;John Alexander González Rodríguez
26;Attack on Chivo's wallet;El Salvador;Data Breach, Unauthorized Access, Data Exfiltration, Information Disclosure, and Source Code Leak.;This type of attack involves unauthorized access to computer systems to steal, expose, or misuse confidential information. Attackers typically exploit security vulnerabilities such as misconfigurations, weak access controls, or inadequate data protection mechanisms.;April 2024;In this case, cybercriminals accessed the platform's database and extracted approximately 144 GB of confidential user data. Furthermore, the system's source code was leaked, significantly increasing future security risks. This attack reveals serious security flaws, such as a lack of adequate access controls, potential vulnerabilities in the servers, and insufficient data protection measures. The scale of the breach suggests that effective monitoring and early intrusion detection systems were not in place.;In this case, the applicable regulation is the Special Law Against Cyber and Related Crimes (Decree No. 260) of El Salvador.;The penalties vary depending on the specific crime committed, but in general they can include prison sentences of between two and twelve years, in addition to financial fines, especially in cases involving leaks of sensitive or large-scale data.;To prevent these types of attacks, it is essential to implement measures such as multi-factor authentication, data encryption, regular security audits, strict access control, and continuous system monitoring. Training staff in cybersecurity best practices is also crucial.;https://finance.yahoo.com/news/hackers-roban-identidades-con-el-205814146.html ;Digital forensics plays a crucial role in analyzing attacks, determining how they occurred, identifying those responsible, and recovering digital evidence. It also helps reconstruct events and supports legal proceedings with technical evidence.;In these types of cases, it is essential to collect evidence such as system logs, IP addresses, database backups, server files, network traffic data, compromised source code, and any devices involved in the attack.;Juan David Guzman Urrea
